Length,MW,Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio,label
20.0,2321.47,0.03,1.2922846299973723e-05,7.671875,-5.129999999999999,0.25,24.5,1.1440000000000001,0.25,1
8.0,872.1,2.99,0.0034285059052860914,13.70703125,-1.8625000000000003,0.0,110.0,1.7462499999999999,0.625,0
19.0,1945.17,-2.009,-0.0010328146126045538,3.93017578125,14.726315789473677,0.0,102.63157894736841,1.0821052631578947,0.42105263157894735,1
15.0,1442.62,-0.009,-6.238649124509573e-06,6.9375,5.193333333333333,0.0,117.33333333333333,0.49800000000000005,0.5333333333333333,0
15.0,1389.61,0.99,0.0007124301062888149,12.25,35.013333333333335,0.06666666666666667,104.66666666666667,-1.05,0.5333333333333333,1
12.0,1014.14,-0.01,-9.860571518725226e-06,6.5,19.45,0.0,130.83333333333331,-1.0574999999999999,0.6666666666666666,0
28.0,2987.2599999999998,2.113,0.0007073371584662869,10.98046875,57.37142857142857,0.07142857142857142,59.64285714285714,1.8446428571428568,0.39285714285714285,1
14.0,1575.78,2.988,0.0018962037847922934,10.7763671875,-8.521428571428572,0.07142857142857142,55.71428571428571,3.4107142857142856,0.21428571428571427,1
8.0,757.8,-1.01,-0.0013328054895750858,3.9296875,70.3625,0.0,73.75,1.1824999999999999,0.5,0
15.0,1744.97,-0.009,-5.157681793956343e-06,6.9375,15.226666666666668,0.0,71.33333333333333,3.2179999999999995,0.3333333333333333,1
15.0,1630.81,-1.01,-0.000619324139538021,4.0107421875,44.980000000000004,0.13333333333333333,72.0,1.55,0.4666666666666667,1
20.0,2140.42,3.987,0.0018627185318769214,12.13671875,-15.7,0.2,34.5,1.4169999999999998,0.4,0
11.0,1355.6299999999999,1.99,0.0014679521698398531,11.400390625,44.10909090909091,0.09090909090909091,141.8181818181818,1.1318181818181818,0.45454545454545453,0
24.0,2585.04,-0.014,-5.415776931885e-06,6.6875,21.22083333333334,0.16666666666666666,134.16666666666669,-1.3237500000000002,0.5833333333333334,0
15.0,1144.28,1.99,0.0017390848393749783,13.55078125,44.80666666666667,0.0,46.0,-0.41599999999999987,0.3333333333333333,1
16.0,1973.3,4.032,0.0020432777580702377,12.5751953125,41.887499999999996,0.1875,61.25,3.14875,0.4375,0
7.0,791.9399999999999,1.988,0.002510291183675531,11.14453125,-14.328571428571431,0.14285714285714285,138.57142857142856,0.6457142857142858,0.42857142857142855,0
15.0,1633.83,-1.011,-0.0006187914287288151,4.451171875,62.89333333333333,0.06666666666666667,72.0,1.4353333333333331,0.4,0
15.0,1590.83,0.032,2.011528573134779e-05,7.7109375,74.68666666666667,0.06666666666666667,110.66666666666666,-0.37866666666666665,0.4,1
15.0,1641.85,-2.011,-0.0012248378353686392,3.537109375,16.513333333333335,0.06666666666666667,117.33333333333333,0.7120000000000001,0.4666666666666667,1
20.0,1979.12,1.029,0.0005199280488297829,9.583984375,6.974999999999995,0.05,49.0,1.6605000000000003,0.25,1
15.0,1418.59,0.919,0.0006478263627968618,8.765625,23.486666666666668,0.0,71.33333333333333,0.06533333333333345,0.3333333333333333,0
10.0,1133.33,2.989,0.0026373606981197006,12.1298828125,58.74,0.1,10.0,3.5089999999999995,0.3,1
15.0,1658.8,-0.163,-9.826380516035689e-05,6.25,70.70666666666666,0.06666666666666667,39.333333333333336,3.1866666666666665,0.26666666666666666,1
